twothousand.OBJECTID,twothousand.Tree_of_He,twothousand.N_FID,twothousand.BlockName,twothousand.Name,twothousand.MgmtType,twothousand.DeerFence,twothousand.DF_details,twothousand.Planting,twothousand.P_details,twothousand.Herbicide,twothousand.H_details,twothousand.HarvYear,twothousand.Shape_Length,twothousand.Shape_Area,Zone_table.OBJECTID,Zone_table.OBJECTID_1,Zone_table.COUNT,Zone_table.AREA,Zone_table.MIN,Zone_table.MAX,Zone_table.RANGE,Zone_table.MEAN,Zone_table.STD,Zone_table.SUM,Zone_table.MEDIAN,Zone_table.PCT90
27,N,43,Standing Stone West,"Broken Arrow SW Prep, SSW16",Shelterwood Prep,N, ,N, ,Y, ,2002,1556.038839,92277.35787,27,27,102,91800,59.39879608,59.96887589,0.570079803,59.61440113,0.131596491,6080.668915,59.59980583,59.77921333
28,N,44,Standing Stone East,"Iron Wheel SW Prep, SSE01",Shelterwood Prep,N, ,N, ,Y, ,2002,1072.403965,37906.59711,28,28,45,40500,59.70709991,60.08817673,0.381076813,59.90968806,0.089092524,2695.935963,59.90454102,60.04706116
29,N,45,Shaver Creek,"Xi Sigma Pi Red Pine Plantation Cut, SHCRK102",Clearcut,Y,2002-(still up in 2013),Y,(1) 2003; unknown # of American chestnut planted / (2) 2003; cover crop planted in spring,Y,(1 & 2) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2001,469.8091104,12951.90744,29,29,13,11700,59.81101227,60.17497635,0.363964081,60.03240086,0.101263469,780.4212112,60.05083847,60.13483505
30,Y,46,Standing Stone East,"Refrigerator Valley SW Prep, SSE39",Shelterwood Prep,N, ,N, ,Y, ,2002,1200.302419,54160.13408,30,30,61,54900,59.43532944,60.04268646,0.607357025,59.68375678,0.127629595,3640.709164,59.68172836,59.82875443
31,N,47,Standing Stone West,"Powerline SW Prep, SSW20",Shelterwood Prep,N, ,N, ,Y, ,2002,589.7462806,15271.74697,31,31,17,15300,61.00748825,62.97504044,1.967552185,61.88122312,0.701283229,1051.980793,61.82143021,62.94427414
32,N,50,Gilford Duff Farm,"Bear Sale SW 1, GDF14",Shelterwood 1,N, ,N, ,N, ,2000,1332.978358,70040.60269,32,32,78,70200,59.1115036,59.63644028,0.524936676,59.28479855,0.092533977,4624.214287,59.2723999,59.39094162
33,N,51,Gilford Duff Farm,"Sassafras Hill SW1, GDF56",Shelterwood 1,Y,1998-2003 / unknown length deer fence / 8.53 acres,N, ,N, ,2002,740.6306522,34510.39524,33,33,38,34200,58.98498917,59.44059372,0.455604553,59.11460585,0.114497506,2246.355022,59.08240891,59.29329681
34,N,60,Camps,"Red Rose Rd Mowing of Clearcut (Border of CPS/MF), CPS47",Mow,N, ,N, ,N, ,2003,930.4063399,43980.27736,34,34,50,45000,58.96343994,59.93856049,0.975120544,59.23940147,0.227851716,2961.970074,59.19478798,59.52690315
35,N,61,Standing Stone West,"Barn Clearcut, SSW50",Clearcut,Y,2003-2009 / 2560' woven wire deer fence / 8.9 acres,N, ,Y,(1 & 2) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2003,793.0295779,36189.35689,35,35,41,36900,59.51966095,59.97746658,0.457805634,59.71560418,0.119975195,2448.339771,59.71722031,59.8925705
36,Y,64,Standing Stone East,"McDillSimmons Biomass Research Cut Site 1 southern site, SSE66, 71, 74,75",Clearcut,Y,2009-still present in 2013 / 5439' woven wire deer fence / 25.52 acres,Y,2009; 3560 bareroot hardwood 1-0 seedlings hand planted 3/26 on 8.5 acres of the Southern Biomass Research Treatment,Y,2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2008,1687.780692,99673.33587,36,36,111,99900,59.30455399,60.10306931,0.79851532,59.612763,0.185038998,6617.016693,59.64183044,59.84741592
37,N,66,Camps,"Red Rose Rd Clearcut, CPS47, 05",Clearcut,Y,2001-2009 / 3047' woven wire deer fence / 10.87 acres (see Deer_Exclosures layer for actual fenced part),Y,"ArcMap layer, no details on what was planted or when.",Y, 2008; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2000,1662.556011,113667.8023,37,37,126,113400,58.87499237,60.04818726,1.173194885,59.22270605,0.260864115,7462.060963,59.13909912,59.60181808
38,N,67,Snake Hill,"Red Pine Clearcut  5 Pt CC, SNKHLL04",Clearcut,N, ,Y,"ArcMap layer, no details on what was planted or when.",N, ,2002,357.4889722,7988.448456,38,38,8,7200,59.41609955,59.46278381,0.046684265,59.44014502,0.015539527,475.5211601,59.43921852,59.45853004
39,N,79,Standing Stone West,"Phelps American Chestnut Research Cut, SSW08",Clearcut,Y,1997-2008 / 1700' electric deer fence / 4.44 acres,Y,no date; Chestnut research planting on 3 acres within this ~75 acre stand.,N, ,2003,510.6112344,17977.15401,39,39,21,18900,58.66004562,58.79453659,0.134490967,58.72996321,0.037363684,1233.329227,58.73637009,58.7742691
40,N,80,Gilford Duff Farm,"Wounded Tree Clearcut , GDF29",Clearcut,N, ,Y,2007; 19000 loblolly pine seedlings were planted on 5/1,Y,(1) 2006; Aerial spray of loblolly seedlings for stiltgrass / (2) 2008; Aerial spray of loblolly seedlings for stiltgrass,2006,481.3029139,11248.69078,40,40,13,11700,59.01515198,59.24588394,0.230731964,59.13601215,0.066405113,768.768158,59.13466644,59.22086411
41,N,81,Masseyburg/Leading Ridge,"Double Block CC  LK26, LR01 (aka ""LR_DBL_BLOCK"", ""LK_DBL_BLOCK"")",Clearcut,N, ,Y, ,Y, ,2004,1372.27553,81703.57835,41,41,91,81900,59.29472351,60.31577682,1.021053314,59.59538089,0.212301971,5423.179661,59.53942871,59.89086151
42,N,82,Monroe Furnace,"Rybacki Road SW 1, MNFN69",Shelterwood 1,Y,2000-2007 / 7100' eclectric deer fence / 42 acres,N, ,Y,~2000; prior to SW1,2000,2061.00582,169965.6376,42,42,190,171000,58.95375824,59.42511749,0.471359253,59.22956758,0.089137186,11253.61784,59.23585129,59.34607391
43,Y,85,Shaver Creek,"Knob Final Removal SW FR, SHCRK29, 35",Shelterwood FR,N, ,N, ,N, ,2005,1571.703265,94167.39272,43,43,104,93600,59.11304092,61.5687027,2.455661774,59.71382288,0.466855447,6210.237579,59.58154106,60.22332497
44,N,86,Monroe Furnace,"Rybacki SW FR, MNFN69",Shelterwood FR,N, ,N, ,N, ,2008,2061.00582,169965.6376,44,44,190,171000,58.95375824,59.42511749,0.471359253,59.22956758,0.089137186,11253.61784,59.23585129,59.34607391
45,Y,90,Gilford Duff Farm,"Swamp SW Final Removal , GDF3",Shelterwood FR,N, ,N, ,N, ,2008,2209.580006,75019.10052,45,45,83,74700,59.03006363,60.15153503,1.121471405,59.6996715,0.24852636,4955.072735,59.71796417,59.99035873
46,Y,91,Snake Hill,"Skunk Tract SW 1, SNKHLL37",Shelterwood 1,Y,2003-2009 / 4887' woven wire deer fence / 16.27 acres,N, ,Y,2008; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2002,1508.759013,65829.52783,46,46,76,68400,59.32696915,59.70980072,0.382831573,59.47425401,0.087829757,4520.043304,59.47368813,59.57672882
47,N,92,Standing Stone East,"Iron Wheel SW 1, SSE01",Shelterwood 1,Y,2004-2010 / 3527' deer fence / 9.37 acres,N, ,Y,(1) ~2002; 9.8 acres of undesirable competion basal treated with Garlon 4 / (2 & 3) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier,2003,1072.403965,37906.59711,47,47,45,40500,59.70709991,60.08817673,0.381076813,59.90968806,0.089092524,2695.935963,59.90454102,60.04706116
48,Y,93,Standing Stone East,"Refrigerator Valley SW 1, SSE39",Shelterwood 1,Y,2004-2009 / 3950' woven wire deer fence / 13.38 acres,N, ,Y,"(1) 2002; prior to SW1, 12.33 Acres of undersirable competition basal treated with Garlon 4 with mineral oil; backpack sprayers with 2 man crew; Ostrya, Birch; single stem / (2) 2002; Fenceline herbicide prior to fence construction  (3) 2008; Fenceline h",2003,1200.302419,54160.13408,48,48,61,54900,59.43532944,60.04268646,0.607357025,59.68375678,0.127629595,3640.709164,59.68172836,59.82875443
49,N,97,Gilford Duff Farm,"Bear Sale SW FR, GDF14",Shelterwood FR,N, ,N, ,N, ,2001,1332.978358,70040.60269,49,49,78,70200,59.1115036,59.63644028,0.524936676,59.28479855,0.092533977,4624.214287,59.2723999,59.39094162
50,N,98,Gilford Duff Farm,"Sassafras Hill SW2, GDF56",Shelterwood FR,N, ,N, ,N, ,2002,740.6306522,34510.39524,50,50,38,34200,58.98498917,59.44059372,0.455604553,59.11460585,0.114497506,2246.355022,59.08240891,59.29329681
51,N,99,Monroe Furnace,"Soldier Road SW FR (NE half), MNFN110",Shelterwood FR,N, ,N, ,N, ,2000,1325.767762,37547.16542,51,51,41,36900,58.99515152,59.34747314,0.352321625,59.2257736,0.08959168,2428.256718,59.24814987,59.31472397
52,N,103,Gilford Duff Farm,"Yellow Hickory Shelterwod FR, GDF2",Shelterwood FR,Y,2003-2010 / 3740' woven wire deer fence / 11.07 acres,Y,2007; 600 unspecified hardwoods,Y,"(1) no date; Unspecificed herbicide (noted in ""Final Yellow Hickory SW Sale Expenses and Revenues"") / (2 & 3) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier",2006,1140.540069,44812.2479,52,52,51,45900,59.24578094,59.82128906,0.575508118,59.3798398,0.135457509,3028.37183,59.32527542,59.58865356
53,N,111,Standing Stone West,"White Birch Clear Cut, SSW22",Clearcut,N, ,N, ,N, ,2008,727.4522234,29550.34131,53,53,31,27900,59.66445923,62.59518051,2.930721283,60.68657598,0.819740406,1881.283855,60.41807175,61.89119339
54,N,114,Monroe Furnace,"Dr. Margot Kaye Ecology Clearcut , MNFN114",Clearcut,Y,2007-2011 / unknown length deer fence / unknown acres,N, ,N, ,2007,630.3280105,22136.10786,54,54,24,21600,59.35904312,59.76540375,0.406360626,59.53274727,0.096265563,1428.785934,59.52949142,59.64479866
55,N,115,Masseyburg,"Grove Lake 11  Locust Salvage, LK11",Salvage,N, ,N, ,N, ,2005,924.6472334,42836.67626,55,55,47,42300,59.62353897,62.03406143,2.410522461,60.35522534,0.639760022,2836.695591,60.16872787,61.29781494
56,Y,117,Masseyburg,"Phranton Run  Seed Tree First Harvest, MAS106",Seed Tree,N, ,Y,2007; 1000 3-0 bare root white pine seedlings planted on 5/1,Y,(1) 2005; Stand invaded with Tree of Heaven and Japanese Stilt Grass. TOH basally treated with Garlon 4 while the Japanese Stilt Grass will be treated pre-emergent with Oust XP via backpack powered sprayer / (2) 2009; 12 ounces of Oust XP over understory,2005,565.7816425,22326.93704,56,56,23,20700,59.06388092,59.34643555,0.282554626,59.20389872,0.071362129,1361.689671,59.20599365,59.28321609
57,N,123,Standing Stone West,"Broken Arrow SW Sale, SSW16",Shelterwood 1,Y,2003-2008 / 5105' woven wire deer fence / 22.8 acres,N, ,Y,2002; 26 acres (combined acreage of SSW16 & SSW20) of undesireable competition basal treated with Garlon 4 (probably before the SW1?),2002,1556.039245,92277.42758,57,57,99,89100,59.39879608,59.96887589,0.570079803,59.60771341,0.134079257,5901.163628,59.58893585,59.78317032
58,N,124,Standing Stone West,"Broken Arrow SW FR, SSW16",Shelterwood FR,N, ,N, ,Y, ,2009,1556.039245,92277.42758,58,58,99,89100,59.39879608,59.96887589,0.570079803,59.60771341,0.134079257,5901.163628,59.58893585,59.78317032
59,N,125,Standing Stone West,"Powerline SW Sale, SSW20",Shelterwood 1,Y,2003-2008 / 1934' woven wire deer fence / 3.77 acres,N, ,Y,2002; 26 acres (combined acreage of SSW16 & SSW20) of undesireable competition basal treated with Garlon 4 (probably before the SW1?),2002,589.7462576,15271.7455,59,59,17,15300,61.00748825,62.97504044,1.967552185,61.88122312,0.701283229,1051.980793,61.82143021,62.94427414
60,N,126,Standing Stone West,"Powerline SW FR, SSW20",Shelterwood FR,N, ,N, ,Y, ,2009,589.7462576,15271.7455,60,60,17,15300,61.00748825,62.97504044,1.967552185,61.88122312,0.701283229,1051.980793,61.82143021,62.94427414
61,N,132,Gilford Duff Farm,"Yellow Hickory SW Prep, GDF2",Shelterwood Prep,N, ,N, ,N, ,2002,1140.540069,44812.2479,61,61,51,45900,59.24578094,59.82128906,0.575508118,59.3798398,0.135457509,3028.37183,59.32527542,59.58865356
62,N,145,Standing Stone West,"Hardwood thinning (Barn), SSW50",Thinning,N, ,N, ,N, ,2003,793.0295779,36189.35689,62,62,41,36900,59.51966095,59.97746658,0.457805634,59.71560418,0.119975195,2448.339771,59.71722031,59.8925705
63,N,118,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,258.2455199,3323.516469,63,63,3,2700,59.46430588,59.63014603,0.165840149,59.54539744,0.067753323,178.6361923,59.54174042,59.6124649
64,N,119,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,197.3412662,3038.09636,64,64,3,2700,59.5694046,59.71442795,0.145023346,59.64965947,0.060209712,178.9489784,59.66514587,59.70457153
65,N,120,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,226.7879347,2111.21036,65,65,2,1800,59.50536728,59.51715469,0.011787415,59.51126099,0.005893707,119.022522,59.51126099,59.51597595
66,N,121,Masseyburg,"Pawling Prop, MAS109",Single Tree,N, ,N, ,N, ,2003,124.3820503,1104.085495,66,66,1,900,59.68235397,59.68235397,0,59.68235397,0,59.68235397,59.68235397,59.68235397
67,N,122,Masseyburg,"Pawling Prop, MAS160",Single Tree,N, ,N, ,N, ,2003,97.15340592,677.9351979,67,68,126,113400,59.4997139,63.04735184,3.547637939,59.94969229,0.605551171,7553.661228,59.7277565,60.7897644
68,N,0,Standing Stone West,"Salvage, SSW50",Salvage,N, ,N, ,N, ,2002,1997.026082,113375.5908,68,69,103,92700,59.39879608,59.96887589,0.570079803,59.61386916,0.131066277,6140.228523,59.5995636,59.77649384
69,N,0,Standing Stone West,"Broken Arrow Salvage, SSW16",Salvage,N, ,N, ,N, ,2003,1565.593188,93733.48344,69,70,65,58500,58.42168045,59.80368042,1.381999969,58.83965184,0.305765958,3824.57737,58.76084518,59.29245682
70,N,0,Standing Stone West,"Thinning II, SSW09",Thinning,N, ,N, ,N, ,2003,1007.762452,58827.92618,70,71,51,45900,59.25892258,59.78226471,0.523342133,59.59085891,0.116769624,3039.133804,59.59515381,59.73947144
71,N,0,Gilford Duff Farm,"Wounded Tree Clearcut , GDF29",Clearcut,N, ,Y,2007; 19000 loblolly pine seedlings were planted on 5/1,Y,(1) 2006; Aerial spray of loblolly seedlings for stiltgrass / (2) 2008; Aerial spray of loblolly seedlings for stiltgrass,2006,1118.257572,44469.94862,71,72,85,76500,58.91753769,59.99716949,1.079631805,59.31807525,0.244292403,5042.036396,59.27426529,59.66867065
72,N,40,Masseyburg,"Sapling removal at the Virginia and Table Mountain Pine CC, MAS109",Cleanup,N, ,N, ,N, ,2001,1390.873034,74760.85816,72,73,47,42300,59.62353897,62.03406143,2.410522461,60.35522534,0.639760022,2836.695591,60.16872787,61.29781494
73,N,115,Masseyburg,"Black Walnut Veneer Select Cut, LK11",Thinning,N, ,N, ,N, ,2002,924.6472334,42836.67626,,,,,,,,,,,,
